Plan;Medicamento;Presentacion;Laboratorio;Familia;Principio_Activo;Receta;Porcentaje_Cobertura;Es_Cronica;Enfermedad;Requiere_Empadronamiento
SC250,SC300,SC500,SC550, SC600, SC4000;PASMINOX;40 mg comp.x 60;BETA S.A.;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;BROMOTIL;40 mg comp.x 60;ARISTON S.A.I.C.F.;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OCTYPASMIL;40 mg comp.x 60;LAFEDAR;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PASMINOX 40;comp.rec.x 20;BETA S.A.;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PIOMAT;comp.rec.x 20;ECZANE;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PIOMAT;comp.rec.x 40;ECZANE;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PIOMAT;comp.rec.x 60;ECZANE;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DRIMAVIN;comp.x 20;ROSSMORE PHARMA SA;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SPASMOCTYL 40;comp.x 20;SIEGFRIED S.A.;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DRIMAVIN;comp.x 60;ROSSMORE PHARMA SA;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SPASMOCTYL 40;comp.x 60;SIEGFRIED S.A.;ANTIESPASMÓDICO;OTILONIO,BROMURO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PASMINOX SOMATICO 40;comp.rec.x 20;BETA S.A.;ANSIOLÍTICO ANTIESPASM.;OTILONIO,BROMURO+DIAZEPAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SPASMOCTYL SOMATICO 40;comp.rec.x 30;SIEGFRIED S.A.;ANSIOLÍTICO ANTIESPASM.;OTILONIO,BROMURO+DIAZEPAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;TRILEPTAL;300 mg comp.x 30;NOVARTIS ARGENTINA S.A.;ANTICONVULSIVO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;RUPOX;300 mg comp.x 30;MEDIPHARMA;ANTICONVULSIVO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;AURENE;300 mg comp.x 30;IVAX ARGENTINA S.A.;ANTIEPILÉPTICO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;TRILEPTAL;300 mg comp.x 60;NOVARTIS ARGENTINA S.A.;ANTICONVULSIVO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;RUPOX;300 mg comp.x 60;MEDIPHARMA;ANTICONVULSIVO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;AURENE;300 mg comp.x 60;IVAX ARGENTINA S.A.;ANTIEPILÉPTICO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;TRILEPTAL;600 mg comp.x 30;NOVARTIS ARGENTINA S.A.;ANTICONVULSIVO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;RUPOX;600 mg comp.x 30;MEDIPHARMA;ANTICONVULSIVO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;AURENE;600 mg comp.x 30;IVAX ARGENTINA S.A.;ANTIEPILÉPTICO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;TRILEPTAL;600 mg comp.x 60;NOVARTIS ARGENTINA S.A.;ANTICONVULSIVO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;RUPOX;600 mg comp.x 60;MEDIPHARMA;ANTICONVULSIVO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;AURENE;600 mg comp.x 60;IVAX ARGENTINA S.A.;ANTIEPILÉPTICO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;TRILEPTAL;jbe.x 100 ml;NOVARTIS ARGENTINA S.A.;ANTICONVULSIVO;OXCARBAZEPINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ELITOS;comp.ran.x 20;LAFEDAR;ANTITUSIVO EXPECTORANTE;OXELADINA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ELITOS;liq.x 150 ml;LAFEDAR;ANTITUSIVO EXPECTORANTE;OXELADINA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ELITOS;Ped.gts.x 15 ml;LAFEDAR;ANTITUSIVO EXPECTORANTE;OXELADINA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXIBUTININA FERRING;1 mg/ml jbe.x 200 ml;FERRING  S.A.;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXIBUTININA VANNIER;5 mg comp.x 20;VANNIER S.A.;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXIBUTININA FERRING;5 mg comp.x 20;FERRING  S.A.;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN UD;5 mg comp.x 20;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN UD;5 mg comp.x 30;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXIBUTININA FERRING;5 mg comp.x 50;FERRING  S.A.;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN UD;10 mg comp.x 20;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN UD;10 mg comp.x 30;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN UD;15 mg comp.x 20;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN UD;15 mg comp.x 30;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;UREQUIN;comp.x 20;CRAVERI S.A.I.C.;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DELAK;comp.x 20;RAFFO;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN;comp.x 20;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DELAK;comp.x 30;RAFFO;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN;comp.x 30;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;UREQUIN;comp.x 50;CRAVERI S.A.I.C.;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN;comp.x 50;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DELAK;comp.x 60;RAFFO;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DITROPAN;jbe.x 200 ml;PHOENIX-ELEA;ANTIESPASMÓDICO VESICAL;OXIBUTININA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXICALMANS;10 mg comp.lib.contr.x30;SOUBEIRAN CHOBET;ANALGÉSICO;OXICODONA;VENTA BAJO RECETA OFICIAL;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXINOVAG;10 mg comp.lib.prol.x 30;GOBBI NOVAG S.A.;ANALGÉSICO;OXICODONA;VENTA BAJO RECETA OFICIAL;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXYCONTIN;10 mg comp.x 30;MUNDIPHARMA;ANALGÉSICO;OXICODONA;VENTA BAJO RECETA OFICIAL;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXICALMANS;20 mg comp.lib.contr.x30;SOUBEIRAN CHOBET;ANALGÉSICO;OXICODONA;VENTA BAJO RECETA OFICIAL;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXINOVAG;20 mg comp.lib.prol.x 30;GOBBI NOVAG S.A.;ANALGÉSICO;OXICODONA;VENTA BAJO RECETA OFICIAL;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXYCONTIN;20 mg comp.x 30;MUNDIPHARMA;ANALGÉSICO;OXICODONA;VENTA BAJO RECETA OFICIAL;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXICALMANS;40 mg comp.lib.contr.x30;SOUBEIRAN CHOBET;ANALGÉSICO;OXICODONA;VENTA BAJO RECETA OFICIAL;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXINOVAG;40 mg comp.lib.prol.x 30;GOBBI NOVAG S.A.;ANALGÉSICO;OXICODONA;VENTA BAJO RECETA OFICIAL;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXYCONTIN;40 mg comp.x 30;MUNDIPHARMA;ANALGÉSICO;OXICODONA;VENTA BAJO RECETA OFICIAL;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;RUBOX;1% cr.x 30 g;PABLO CASSARA S.R.L.;TRAT.ERITEMA FACIAL;OXIMETAZOLINA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;LIDIL SPRAY;Spray nasal Inf.x 20 ml;ROEMMERS;DESCONGESTIVO;OXIMETAZOLINA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ALLERHIT;Spray nasal x 10 ml;LAURIA;DESCONGESTIVO;OXIMETAZOLINA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;LIDIL SPRAY;Spray nasal x 20 ml;ROEMMERS;DESCONGESTIVO;OXIMETAZOLINA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OXILER D;spray x 10 ml;PABLO CASSARA S.R.L.;DESCONGESTIVO NASAL;OXIMETAZOLINA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;OCUREL LC;sol.oft.esteril x 7.5 ml;NOVOPLOS S.A.;DESCONGESTIVO OFTÁLMICO;OXIMETAZOLINA CLOR.+ASOC.;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ALOSOL;gts.oft.x 10 ml;MAX VISION;DESCONGESTIVO OFTÁLMICO;OXIMETAZOLINA+HIALURONATO SÓDICO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;TERRA CORTRIL;spray x 100 ml;PFIZER S.R.L.;ANTIBIÓTICO ANTIINFL.;OXITETRACICLINA+HIDROCORTISONA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA;3 mg comp.lib.prol.x 28;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA;6 mg comp.lib.prol.x 28;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA SUSTENNA;50 mg/0.5 ml jga.prell.;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA SUSTENNA;75 mg/0.75 ml jga.prell.;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA SUSTENNA;100 mg/1 ml jga.prell.;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA SUSTENNA;150 mg/1.5 ml jga.prell.;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA TRINZA;175 mg jga.prell.x 1;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA TRINZA;263 mg jga.prell.x 1;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA TRINZA;350 mg jga.prell.x 1;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;INVEGA TRINZA;525 mg jga.prell.x 1;JANSSEN-CILAG;ANTIPSICÓTICO;PALIPERIDONA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;EVERFEM;comp.x 10;OMEGA ESPECIALIDAD MEDICINAL;TRAT.SÍNDROME PREMENSTRUAL;PAMABROM+PARACETAMOL+ASOC.;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;AMINOMUX;30 mg iny.liof.f.a.x 1;GADOR S.A.;ANTIOSTEOPORÓTICO;PAMIDRONATO DISÓDICO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;FADA PAMIDRONATO;90 mg f.a.x 1+1 diluy.;LAB INTERNACIONAL ARGENTINO SA;ANTIOSTEOPORÓTICO;PAMIDRONATO DISÓDICO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;AMINOMUX;90 mg iny.liof.f.a.x 1;GADOR S.A.;ANTIOSTEOPORÓTICO;PAMIDRONATO DISÓDICO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ARNOL 720-T;comp.rec.x 30;CETUS S.R.L.;DIGESTIVO;PANCREATINA+ASOC.;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ARNOL 720-T;comp.rec.x 60;CETUS S.R.L.;DIGESTIVO;PANCREATINA+ASOC.;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;TRIDIGESTIVO SOUBEIRAN;grag.x 20;SOUBEIRAN CHOBET;DIGESTIVO ENZIMÁTICO;PANCREATINA+ASOC.;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANKREOFLAT AD;comp.rec.x 20;RAFFO;DIGESTIVO ANTIFLATULENTO;PANCREATINA+DIMETILPOLISILOXANO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANKREOFLAT AD;comp.rec.x 50;RAFFO;DIGESTIVO ANTIFLATULENTO;PANCREATINA+DIMETILPOLISILOXANO;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOSEPTO;20 mg comp.gastr.x 30;CRAVERI S.A.I.C.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DUNCAN SIPAR;20 mg comp.gastrorr.x 28;DUNCAN  S.C.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOPRANE;20 mg comp.rec.x 30;ECZANE;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;FABOACID PANTO;20 mg comp.rec.x 30;SAVANT GENER;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;BUXIFOL;20 mg comp.rec.x 30;SAVANT GENER;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;GASTROMAX 20;20 mg comp.x 14;GADOR S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;IBP PANTO;20 mg comp.x 14;GEMINIS FARMACEUTICA;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOPRAZOL HLB;20 mg comp.x 14;HLB PHARMA;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SUPRACAM;20 mg comp.x 20;NOLTER;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOPRAZOL TEVA;20 mg comp.x 28;IVAX ARGENTINA S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOPRAZOL HLB;20 mg comp.x 28;HLB PHARMA;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;IBP PANTO;20 mg comp.x 28;GEMINIS FARMACEUTICA;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOCAS;20 mg comp.x 30;CASASCO S.A.I.C.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ZURCAL;20 mg comp.x 30;RAFFO;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOPRAZOL DENVER FARMA;20 mg comp.x 30;DENVER FARMA S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;GASTROMAX 20;20 mg comp.x 30;GADOR S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PAMPAR 20;20 mg comp.x 30;MICROSULES ARGENTINA S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SUPRACAM;20 mg comp.x 30;NOLTER;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;IBP PANTO;20 mg comp.x 30;GEMINIS FARMACEUTICA;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOCAS;20 mg comp.x 60;CASASCO S.A.I.C.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;GASTROMAX 20;20 mg comp.x 60;GADOR S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTUS 20;20mg comp.rec.gastr.x 15;BALIARDA S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTUS 20;20mg comp.rec.gastr.x 30;BALIARDA S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOSEPTO;40 mg comp.gastr.x14;CRAVERI S.A.I.C.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOSEPTO;40 mg comp.gastr.x28;CRAVERI S.A.I.C.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOSEPTO;40 mg comp.gastr.x30;CRAVERI S.A.I.C.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DUNCAN SIPAR;40 mg comp.gastrorr.x 28;DUNCAN  S.C.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOPRANE;40 mg comp.rec.x 30;ECZANE;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;FABOACID PANTO;40 mg comp.rec.x 30;SAVANT GENER;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;BUXIFOL;40 mg comp.rec.x 30;SAVANT GENER;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;GASTROMAX;40 mg comp.x 14;GADOR S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;IBP PANTO;40 mg comp.x 14;GEMINIS FARMACEUTICA;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOCAS;40 mg comp.x 15;CASASCO S.A.I.C.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SUPRACAM;40 mg comp.x 20;NOLTER;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOPRAZOL TEVA;40 mg comp.x 28;IVAX ARGENTINA S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;IBP PANTO;40 mg comp.x 28;GEMINIS FARMACEUTICA;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ZURCAL;40 mg comp.x 30;RAFFO;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOPRAZOL DENVER FARMA;40 mg comp.x 30;DENVER FARMA S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PAMPAR 40;40 mg comp.x 30;MICROSULES ARGENTINA S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;IBP PANTO;40 mg comp.x 30;GEMINIS FARMACEUTICA;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SUPRACAM;40 mg comp.x 30;NOLTER;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOCAS;40 mg comp.x 30;CASASCO S.A.I.C.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;GASTROMAX;40 mg comp.x 30;GADOR S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;PANTOCAS;40 mg comp.x 60;CASASCO S.A.I.C.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;GASTROMAX;40 mg comp.x 60;GADOR S.A.;ANTIULCEROSO;PANTOPRAZOL;VENTA BAJO RECETA;40;NO;;NO
